date,btc_p,ltc_p,eth_p,xrp_p,doge_p
17/06/2016,763.008,5.71709,20.48967,0.00669322,0.000321167
20/06/2016,765.49,5.5304,12.23579,0.00662603,0.000323233
21/06/2016,735.39,5.33883,11.7606,0.00617174,0.000307247
22/06/2016,667.725,4.87,13.21691,0.00649479,0.000265731
23/06/2016,601.936,4.07154,13.39,0.00638054,0.000279926
24/06/2016,627.375,4.07699,13.6405,0.00643372,0.000281366
27/06/2016,630.0,4.03,13.97,0.00639849,0.000288071
28/06/2016,663.498,4.24816,14.09,0.00677267,0.000301306
29/06/2016,649.322,4.08491,12.122,0.00677719,0.000295862
30/06/2016,643.119,4.06146,12.6,0.00665713,0.000304281
01/07/2016,671.524,4.16053,12.4545,0.00603918,0.000139256
06/07/2016,669.21,4.54996,10.54,0.00577962,0.000239545
07/07/2016,677.1,4.39337,10.45771,0.0065984,0.000274594
11/07/2016,650.07,4.12997,11.06043,0.00810845,0.000239014
12/07/2016,650.78,4.20323,10.5,0.00685103,0.000213961
13/07/2016,666.0,4.2,10.58,0.00641063,0.000262525
14/07/2016,655.11,4.17853,10.421,0.00638492,0.000262081
15/07/2016,662.99,4.17491,11.6,0.00644201,0.000264057
18/07/2016,681.86,4.13161,11.24449,0.00648188,0.000252348
19/07/2016,674.79,4.18051,11.06836,0.00640525,0.00024512
20/07/2016,673.092,4.18098,11.719,0.00639476,0.000243511
21/07/2016,666.161,4.14282,12.499,0.00641633,0.000237462
22/07/2016,665.88,4.11099,12.679,0.00630293,0.000237191
25/07/2016,663.366,4.06187,12.78798,0.0062463,0.00024544
26/07/2016,651.871,4.04,13.815,0.00599762,0.000239749
27/07/2016,650.0,3.97287,11.84952,0.00596901,0.000236956
28/07/2016,656.979,3.94306,13.03996,0.00597362,0.000238
29/07/2016,656.08,3.95623,12.89129,0.00611078,0.000237517
01/08/2016,622.57,3.94,11.87998,0.00593331,0.00015829
02/08/2016,602.551,3.84,10.89968,0.00799082,0.000286896
03/08/2016,540.0,3.59459,8.6,0.00794937,0.000219746
