date,usd_gbp,usd_gbp_ %,usd_eur,usd_eur_%,usd_yuan,usd_yuan_%,usd_yen,usd_yen_ %
04/01/2016,0.6794,0.19%,0.9232,0.26%,6.5354,0.64%,119.44,-0.74%
06/01/2016,0.6836,0.31%,0.9275,-0.31%,6.5566,0.64%,118.47,-0.50%
07/01/2016,0.6841,0.07%,0.9144,-1.41%,6.5929,0.55%,117.68,-0.67%
08/01/2016,0.6887,0.67%,0.9148,0.04%,6.5965,0.05%,117.45,-0.20%
11/01/2016,0.6876,-0.16%,0.9208,0.66%,6.5695,-0.41%,117.77,0.27%
12/01/2016,0.6922,0.67%,0.921,0.02%,6.5725,0.05%,117.64,-0.11%
13/01/2016,0.6942,0.29%,0.9194,-0.17%,6.5754,0.04%,117.69,0.04%
14/01/2016,0.6937,-0.07%,0.9204,0.11%,6.5901,0.22%,118.05,0.31%
15/01/2016,0.7014,1.11%,0.9161,-0.47%,6.5849,-0.08%,117.06,-0.84%
19/01/2016,0.7066,0.64%,0.9167,-0.15%,6.5785,-0.01%,117.64,0.26%
20/01/2016,0.7046,-0.28%,0.9182,0.16%,6.5784,0.00%,116.94,-0.60%
21/01/2016,0.7032,-0.20%,0.9196,0.15%,6.58,0.02%,117.7,0.65%
22/01/2016,0.701,-0.31%,0.9262,0.72%,6.5791,-0.01%,118.78,0.92%
25/01/2016,0.7018,0.11%,0.9218,-0.48%,6.5793,0.00%,118.3,-0.40%
26/01/2016,0.6968,-0.71%,0.9198,-0.22%,6.5825,0.05%,118.42,0.10%
27/01/2016,0.7026,0.83%,0.9181,-0.18%,6.5778,-0.07%,118.67,0.21%
28/01/2016,0.6963,-0.90%,0.9142,-0.42%,6.5751,-0.04%,118.83,0.13%
29/01/2016,0.7019,0.80%,0.9228,0.94%,6.5761,0.02%,121.06,1.88%
02/02/2016,0.694,0.17%,0.9159,-0.27%,6.5798,0.02%,119.97,-0.83%
03/02/2016,0.6847,-1.34%,0.9005,-1.68%,6.577,-0.04%,117.92,-1.71%
08/02/2016,0.6929,0.49%,0.8931,-0.35%,6.5739,0.00%,115.84,-0.91%
09/02/2016,0.691,-0.27%,0.8855,-0.85%,6.5739,0.00%,115.11,-0.63%
11/02/2016,0.6907,0.30%,0.8831,-0.30%,6.5739,0.00%,112.42,-0.81%
12/02/2016,0.6893,-0.20%,0.8881,0.57%,6.5739,0.00%,113.22,0.71%
16/02/2016,0.699,0.89%,0.8973,0.10%,6.5169,0.32%,114.08,-0.44%
17/02/2016,0.6995,0.07%,0.8986,0.14%,6.5282,0.17%,114.11,0.03%
18/02/2016,0.6976,-0.27%,0.9003,0.19%,6.5188,-0.14%,113.25,-0.75%
19/02/2016,0.6942,-0.49%,0.8981,-0.24%,6.5224,0.06%,112.57,-0.60%
22/02/2016,0.7067,1.80%,0.9066,0.95%,6.5218,-0.01%,112.92,0.31%
23/02/2016,0.7131,0.91%,0.9074,0.09%,6.5271,0.08%,112.11,-0.72%
24/02/2016,0.718,0.69%,0.9081,0.08%,6.5317,0.07%,112.19,0.07%
25/02/2016,0.7161,-0.26%,0.9072,-0.10%,6.5335,0.03%,113.0,0.72%
26/02/2016,0.7209,0.67%,0.9145,0.80%,6.5404,0.11%,114.0,0.88%
29/02/2016,0.7186,-0.32%,0.9197,0.57%,6.554,0.21%,112.69,-1.15%
02/03/2016,0.7103,-0.92%,0.9202,-0.01%,6.551,-0.02%,113.48,-0.46%
03/03/2016,0.7053,-0.70%,0.9125,-0.84%,6.5314,-0.30%,113.69,0.19%
08/03/2016,0.7037,0.39%,0.9086,0.07%,6.5047,-0.19%,112.61,-0.76%
10/03/2016,0.7004,-0.40%,0.8947,-1.53%,6.5085,-0.07%,113.19,-0.13%
11/03/2016,0.6957,-0.67%,0.8967,0.22%,6.4953,-0.20%,113.81,0.55%
14/03/2016,0.6993,0.52%,0.9004,0.41%,6.5,0.07%,113.83,0.02%
15/03/2016,0.7066,1.04%,0.9002,-0.02%,6.5145,0.22%,113.19,-0.56%
16/03/2016,0.7013,-0.75%,0.8908,-1.04%,6.522,0.12%,112.59,-0.53%
17/03/2016,0.6906,-1.53%,0.8835,-0.82%,6.475,-0.72%,111.39,-1.07%
18/03/2016,0.6906,0.00%,0.8873,0.43%,6.4716,-0.05%,111.57,0.16%
21/03/2016,0.696,0.78%,0.8896,0.26%,6.4846,0.20%,111.94,0.33%
22/03/2016,0.7038,1.12%,0.8915,0.21%,6.4901,0.08%,112.38,0.39%
23/03/2016,0.7084,0.65%,0.8942,0.30%,6.5062,0.25%,112.38,0.00%
24/03/2016,0.7066,-0.25%,0.895,0.09%,6.5146,0.13%,112.91,0.47%
29/03/2016,0.6951,-0.93%,0.8857,-0.83%,6.5066,-0.01%,112.69,-0.67%
30/03/2016,0.6954,0.04%,0.882,-0.42%,6.465,-0.64%,112.42,-0.24%
31/03/2016,0.6963,0.13%,0.8788,-0.36%,6.449,-0.25%,112.58,0.14%
01/04/2016,0.7029,0.95%,0.8781,-0.08%,6.4786,0.46%,111.67,-0.81%
04/04/2016,0.7011,-0.26%,0.8779,-0.02%,6.4786,0.00%,111.33,-0.30%
05/04/2016,0.7062,0.73%,0.8784,0.06%,6.4772,-0.02%,110.33,-0.90%
07/04/2016,0.7114,0.45%,0.879,0.21%,6.463,-0.28%,108.22,-1.44%
08/04/2016,0.7079,-0.49%,0.8771,-0.22%,6.4658,0.04%,108.06,-0.15%
11/04/2016,0.7022,-0.81%,0.8765,-0.07%,6.4595,-0.10%,107.94,-0.11%
13/04/2016,0.704,0.50%,0.887,1.00%,6.4784,0.20%,109.34,0.73%
14/04/2016,0.7066,0.37%,0.8874,0.05%,6.4826,0.06%,109.4,0.05%
15/04/2016,0.7045,-0.30%,0.8863,-0.12%,6.4756,-0.11%,108.77,-0.58%
18/04/2016,0.7006,-0.55%,0.8839,-0.27%,6.4752,-0.01%,108.83,0.06%
19/04/2016,0.6947,-0.84%,0.8804,-0.40%,6.4581,-0.26%,109.2,0.34%
20/04/2016,0.6976,0.42%,0.8851,0.53%,6.4708,0.20%,109.84,0.59%
21/04/2016,0.6982,0.09%,0.8859,0.09%,6.4819,0.17%,109.45,-0.36%
22/04/2016,0.6944,-0.54%,0.8902,0.49%,6.5009,0.29%,111.79,2.14%
25/04/2016,0.6905,-0.56%,0.8874,-0.31%,6.493,-0.12%,111.2,-0.53%
26/04/2016,0.6858,-0.68%,0.8851,-0.26%,6.4935,0.01%,111.31,0.10%
27/04/2016,0.6876,0.26%,0.8833,-0.20%,6.495,0.02%,111.47,0.14%
28/04/2016,0.6845,-0.45%,0.8809,-0.27%,6.4759,-0.29%,108.11,-3.01%
29/04/2016,0.6843,-0.03%,0.873,-0.90%,6.4741,-0.03%,106.36,-1.62%
02/05/2016,0.6815,-0.41%,0.867,-0.69%,6.4741,0.00%,106.42,0.06%
04/05/2016,0.6901,0.29%,0.8705,0.08%,6.4947,0.05%,107.02,0.38%
05/05/2016,0.6904,0.04%,0.8768,0.72%,6.5034,0.13%,107.25,0.21%
09/05/2016,0.6942,0.17%,0.8785,0.19%,6.5169,0.26%,108.33,1.13%
10/05/2016,0.6923,-0.27%,0.8794,0.10%,6.5183,0.02%,109.27,0.87%
12/05/2016,0.6921,-0.01%,0.879,0.42%,6.5168,0.38%,109.03,0.56%
13/05/2016,0.6963,0.61%,0.8844,0.61%,6.532,0.23%,108.61,-0.39%
16/05/2016,0.6944,-0.27%,0.8835,-0.10%,6.5212,-0.17%,109.03,0.39%
17/05/2016,0.6914,-0.43%,0.8839,0.05%,6.5204,-0.01%,109.14,0.10%
18/05/2016,0.685,-0.93%,0.8915,0.86%,6.5388,0.28%,110.19,0.96%
19/05/2016,0.6844,-0.09%,0.8926,0.12%,6.547,0.13%,109.97,-0.20%
20/05/2016,0.6896,0.76%,0.891,-0.18%,6.549,0.03%,110.15,0.16%
23/05/2016,0.6904,0.12%,0.8913,0.03%,6.5557,0.10%,109.23,-0.84%
24/05/2016,0.6833,-1.03%,0.8976,0.71%,6.5572,0.02%,109.99,0.70%
25/05/2016,0.6804,-0.42%,0.8964,-0.13%,6.5541,-0.05%,110.19,0.18%
26/05/2016,0.6816,0.18%,0.8933,-0.35%,6.557,0.04%,109.77,-0.38%
27/05/2016,0.6838,0.32%,0.8997,0.72%,6.5633,0.10%,110.23,0.42%
31/05/2016,0.6907,1.10%,0.8983,0.13%,6.5829,0.00%,110.71,-0.38%
01/06/2016,0.6936,0.42%,0.8938,-0.50%,6.5751,-0.12%,109.53,-1.07%
06/06/2016,0.6925,0.55%,0.8807,0.10%,6.5637,-0.02%,107.56,0.97%
07/06/2016,0.6876,-0.71%,0.8804,-0.03%,6.5715,0.12%,107.36,-0.19%
09/06/2016,0.6916,0.30%,0.8837,0.68%,6.5619,-0.01%,107.09,0.10%
10/06/2016,0.7014,1.42%,0.8889,0.59%,6.5619,0.00%,106.98,-0.10%
13/06/2016,0.7006,-0.11%,0.8856,-0.37%,6.5857,0.36%,106.25,-0.68%
14/06/2016,0.7084,1.11%,0.8922,0.75%,6.5965,0.16%,106.11,-0.13%
15/06/2016,0.7039,-0.64%,0.8881,-0.46%,6.5818,-0.22%,106.02,-0.08%
16/06/2016,0.7041,0.03%,0.8908,0.30%,6.592,0.15%,104.25,-1.67%
17/06/2016,0.6965,-1.08%,0.8867,-0.46%,6.5884,-0.05%,104.12,-0.12%
20/06/2016,0.6803,-2.33%,0.8839,-0.32%,6.577,-0.17%,103.94,-0.17%
21/06/2016,0.6826,0.34%,0.8896,0.64%,6.5903,0.20%,104.75,0.78%
22/06/2016,0.6799,-0.40%,0.8851,-0.51%,6.5775,-0.19%,104.41,-0.32%
23/06/2016,0.6721,-1.15%,0.878,-0.80%,6.5772,0.00%,106.16,1.68%
24/06/2016,0.731,8.76%,0.8996,2.46%,6.6218,0.68%,102.23,-3.70%
27/06/2016,0.756,3.42%,0.9072,0.84%,6.6516,0.45%,102.0,-0.22%
28/06/2016,0.7495,-0.86%,0.9037,-0.39%,6.6481,-0.05%,102.76,0.75%
29/06/2016,0.7448,-0.63%,0.8989,-0.53%,6.6367,-0.17%,102.83,0.07%
30/06/2016,0.7512,0.86%,0.9004,0.17%,6.648,0.17%,103.29,0.45%
01/07/2016,0.754,0.37%,0.898,-0.27%,6.6557,0.12%,102.53,-0.74%
06/07/2016,0.7733,0.70%,0.901,-0.21%,6.693,0.20%,101.33,-0.38%
07/07/2016,0.7747,0.18%,0.9039,0.32%,6.681,-0.18%,100.78,-0.54%
11/07/2016,0.7695,-0.31%,0.9043,-0.03%,6.6939,0.09%,102.81,2.25%
12/07/2016,0.7551,-1.87%,0.9042,-0.01%,6.6885,-0.08%,104.69,1.83%
13/07/2016,0.7606,0.73%,0.9018,-0.27%,6.6863,-0.03%,104.5,-0.18%
14/07/2016,0.7494,-1.47%,0.8992,-0.29%,6.6836,-0.04%,105.34,0.80%
15/07/2016,0.758,1.15%,0.9062,0.78%,6.6887,0.08%,104.84,-0.47%
18/07/2016,0.7543,-0.49%,0.9031,-0.34%,6.7045,0.24%,106.16,1.26%
19/07/2016,0.7628,1.13%,0.9073,0.47%,6.6963,-0.12%,106.12,-0.04%
20/07/2016,0.757,-0.76%,0.9079,0.07%,6.6777,-0.28%,106.84,0.68%
21/07/2016,0.7557,-0.17%,0.9071,-0.09%,6.6755,-0.03%,105.81,-0.96%
22/07/2016,0.7628,0.94%,0.9111,0.44%,6.6795,0.06%,106.08,0.26%
25/07/2016,0.761,-0.24%,0.9096,-0.16%,6.6785,-0.01%,105.78,-0.28%
26/07/2016,0.7615,0.07%,0.9101,0.05%,6.672,-0.10%,104.66,-1.06%
27/07/2016,0.7563,-0.68%,0.9043,-0.64%,6.67,-0.03%,105.4,0.71%
28/07/2016,0.7596,0.44%,0.9029,-0.15%,6.6554,-0.22%,105.27,-0.12%
29/07/2016,0.756,-0.47%,0.895,-0.87%,6.6373,-0.27%,102.06,-3.05%
01/08/2016,0.7589,0.38%,0.8959,0.10%,6.6439,0.10%,102.39,0.32%
02/08/2016,0.7487,-1.34%,0.8907,-0.58%,6.6272,-0.25%,100.89,-1.46%
03/08/2016,0.7503,0.21%,0.897,0.71%,6.6342,0.11%,101.23,0.34%
04/08/2016,0.763,1.69%,0.8985,0.17%,6.6418,0.11%,101.22,-0.01%
08/08/2016,0.7669,0.25%,0.9015,-0.07%,6.6614,0.08%,102.44,0.62%
09/08/2016,0.7691,0.29%,0.8993,-0.24%,6.6557,-0.09%,101.89,-0.54%
11/08/2016,0.7719,0.43%,0.8979,0.36%,6.6277,-0.16%,101.95,0.66%
12/08/2016,0.7738,0.25%,0.896,-0.21%,6.6353,0.11%,101.31,-0.63%
15/08/2016,0.7764,0.34%,0.8942,-0.20%,6.638,0.04%,101.25,-0.06%
16/08/2016,0.7665,-1.28%,0.8866,-0.85%,6.6253,-0.19%,100.31,-0.93%
17/08/2016,0.7667,0.03%,0.8859,-0.08%,6.6343,0.14%,100.27,-0.04%
18/08/2016,0.7594,-0.95%,0.8808,-0.58%,6.6312,-0.05%,99.89,-0.38%
19/08/2016,0.7648,0.71%,0.8829,0.24%,6.6532,0.33%,100.22,0.33%
22/08/2016,0.7611,-0.48%,0.8835,0.07%,6.6507,-0.04%,100.33,0.11%
23/08/2016,0.7577,-0.45%,0.8846,0.12%,6.6409,-0.15%,100.25,-0.08%
24/08/2016,0.7557,-0.26%,0.8878,0.36%,6.6591,0.27%,100.44,0.19%
25/08/2016,0.7581,0.32%,0.8863,-0.17%,6.6593,0.00%,100.53,0.09%
26/08/2016,0.7612,0.41%,0.8931,0.77%,6.6719,0.19%,101.83,1.29%
30/08/2016,0.7644,0.17%,0.8975,0.41%,6.6812,0.05%,102.97,1.03%
31/08/2016,0.7611,-0.43%,0.8962,-0.14%,6.6793,-0.03%,103.42,0.44%
02/09/2016,0.7523,-0.19%,0.8963,0.36%,6.6805,0.13%,103.99,0.72%
06/09/2016,0.744,-1.01%,0.8884,-0.98%,6.6755,-0.02%,102.02,-1.37%
08/09/2016,0.752,0.32%,0.8881,-0.17%,6.6643,0.03%,102.5,0.76%
09/09/2016,0.7537,0.23%,0.8903,0.25%,6.6781,0.21%,102.69,0.19%
12/09/2016,0.7498,-0.52%,0.8901,-0.02%,6.6801,0.03%,101.86,-0.81%
13/09/2016,0.7579,1.08%,0.8912,0.12%,6.6794,-0.01%,102.56,0.69%
14/09/2016,0.7556,-0.30%,0.8889,-0.26%,6.6734,-0.09%,102.42,-0.14%
15/09/2016,0.7554,-0.03%,0.8894,0.06%,6.6734,0.00%,102.09,-0.32%
16/09/2016,0.7692,1.83%,0.8963,0.78%,6.6734,0.00%,102.3,0.21%
19/09/2016,0.7675,-0.22%,0.8949,-0.16%,6.6685,-0.07%,101.94,-0.35%
20/09/2016,0.77,0.33%,0.8965,0.18%,6.672,0.05%,101.71,-0.23%
21/09/2016,0.7676,-0.31%,0.8938,-0.30%,6.6721,0.00%,100.31,-1.38%
22/09/2016,0.7647,-0.38%,0.8922,-0.18%,6.6648,-0.11%,100.75,0.44%
23/09/2016,0.7708,0.80%,0.8908,-0.16%,6.6694,0.07%,101.0,0.25%
26/09/2016,0.7707,-0.01%,0.8886,-0.25%,6.6689,-0.01%,100.33,-0.66%
27/09/2016,0.7679,-0.36%,0.8917,0.35%,6.6701,0.02%,100.44,0.11%
28/09/2016,0.7681,0.03%,0.8916,-0.01%,6.6752,0.08%,100.67,0.23%
29/09/2016,0.7711,0.39%,0.8911,-0.06%,6.6673,-0.12%,101.03,0.36%
30/09/2016,0.7706,-0.06%,0.8896,-0.17%,6.6716,0.06%,101.34,0.31%
03/10/2016,0.7787,1.05%,0.892,0.27%,6.6716,0.00%,101.64,0.30%
05/10/2016,0.7844,-0.15%,0.8924,0.00%,6.6716,0.00%,103.5,0.59%
06/10/2016,0.7927,1.06%,0.8969,0.50%,6.6716,0.00%,103.94,0.43%
10/10/2016,0.8089,0.57%,0.8978,0.57%,6.7074,0.54%,103.61,0.67%
11/10/2016,0.8249,1.98%,0.9046,0.76%,6.722,0.22%,103.52,-0.09%
13/10/2016,0.816,-0.39%,0.9044,-0.44%,6.7274,0.13%,103.69,-0.49%
14/10/2016,0.8206,0.56%,0.9115,0.79%,6.7288,0.02%,104.19,0.48%
17/10/2016,0.8208,0.02%,0.9091,-0.26%,6.7375,0.13%,103.89,-0.29%
18/10/2016,0.8132,-0.93%,0.9107,0.18%,6.7409,0.05%,103.86,-0.03%
19/10/2016,0.8138,0.07%,0.9113,0.07%,6.7379,-0.04%,103.44,-0.40%
20/10/2016,0.8162,0.29%,0.9149,0.40%,6.7454,0.11%,103.95,0.49%
21/10/2016,0.8173,0.13%,0.9187,0.42%,6.7667,0.32%,103.83,-0.12%
24/10/2016,0.8171,-0.02%,0.919,0.03%,6.7752,0.13%,104.19,0.35%
25/10/2016,0.8205,0.42%,0.9184,-0.07%,6.7812,0.09%,104.23,0.04%
26/10/2016,0.8166,-0.48%,0.9166,-0.20%,6.7712,-0.15%,104.47,0.23%
27/10/2016,0.8222,0.69%,0.9177,0.12%,6.7851,0.21%,105.29,0.78%
28/10/2016,0.8206,-0.19%,0.9102,-0.82%,6.779,-0.09%,104.7,-0.56%
31/10/2016,0.8167,-0.48%,0.9106,0.04%,6.7758,-0.05%,104.82,0.11%
01/11/2016,0.8168,0.01%,0.9045,-0.67%,6.7665,-0.14%,104.16,-0.63%
02/11/2016,0.8128,-0.49%,0.9011,-0.38%,6.757,-0.14%,103.31,-0.82%
03/11/2016,0.8025,-1.27%,0.9005,-0.07%,6.7646,0.11%,102.98,-0.32%
04/11/2016,0.7988,-0.46%,0.8975,-0.33%,6.7565,-0.12%,103.14,0.16%
07/11/2016,0.8066,0.98%,0.9058,0.92%,6.7766,0.30%,104.47,1.29%
08/11/2016,0.8079,0.16%,0.907,0.13%,6.7874,0.16%,105.16,0.66%
10/11/2016,0.7965,-1.19%,0.9181,0.16%,6.8019,0.32%,106.83,1.10%
11/11/2016,0.7935,-0.38%,0.9212,0.34%,6.8125,0.16%,106.68,-0.14%
14/11/2016,0.8005,0.88%,0.9314,1.11%,6.8468,0.50%,108.42,1.63%
15/11/2016,0.8028,0.29%,0.9327,0.14%,6.8591,0.18%,109.17,0.69%
16/11/2016,0.8037,0.11%,0.9354,0.29%,6.8804,0.31%,109.08,-0.08%
17/11/2016,0.8054,0.21%,0.9411,0.61%,6.8782,-0.03%,110.11,0.94%
18/11/2016,0.81,0.57%,0.9445,0.36%,6.8887,0.15%,110.95,0.76%
21/11/2016,0.8004,-1.19%,0.9408,-0.39%,6.8928,0.06%,110.83,-0.11%
22/11/2016,0.8049,0.56%,0.941,0.02%,6.89,-0.04%,111.12,0.26%
23/11/2016,0.804,-0.11%,0.9474,0.68%,6.9202,0.44%,112.52,1.26%
25/11/2016,0.8015,-0.20%,0.9446,-0.31%,6.9198,0.00%,113.08,-0.23%
28/11/2016,0.8054,0.49%,0.9421,-0.26%,6.9087,-0.16%,111.94,-1.01%
29/11/2016,0.8006,-0.60%,0.9391,-0.32%,6.8968,-0.17%,112.39,0.40%
30/11/2016,0.7996,-0.12%,0.9445,0.58%,6.8868,-0.14%,114.47,1.85%
01/12/2016,0.7942,-0.68%,0.9379,-0.70%,6.8865,0.00%,114.09,-0.33%
02/12/2016,0.7856,-1.08%,0.937,-0.10%,6.8865,0.00%,113.58,-0.45%
05/12/2016,0.7853,-0.04%,0.9291,-0.84%,6.881,-0.08%,113.84,0.23%
07/12/2016,0.7921,0.43%,0.93,-0.33%,6.8805,-0.02%,113.77,-0.22%
08/12/2016,0.7945,0.30%,0.9421,1.30%,6.8799,-0.01%,114.03,0.23%
09/12/2016,0.7952,0.09%,0.9468,0.50%,6.9077,0.40%,115.4,1.20%
12/12/2016,0.7889,-0.79%,0.9404,-0.68%,6.9069,-0.01%,115.03,-0.32%
13/12/2016,0.79,0.14%,0.941,0.06%,6.9017,-0.08%,115.19,0.14%
14/12/2016,0.7959,0.75%,0.949,0.85%,6.9051,0.05%,117.05,1.61%
15/12/2016,0.8053,1.18%,0.9603,1.19%,6.9443,0.57%,118.17,0.96%
16/12/2016,0.8002,-0.63%,0.9568,-0.36%,6.9603,0.23%,117.99,-0.15%
19/12/2016,0.8065,0.79%,0.9614,0.48%,6.9539,-0.09%,117.08,-0.77%
20/12/2016,0.8088,0.29%,0.9627,0.14%,6.9505,-0.05%,117.88,0.68%
21/12/2016,0.8095,0.09%,0.9593,-0.35%,6.9421,-0.12%,117.55,-0.28%
22/12/2016,0.8142,0.58%,0.9582,-0.11%,6.9504,0.12%,117.54,-0.01%
23/12/2016,0.8135,-0.09%,0.9564,-0.19%,6.9464,-0.06%,117.35,-0.16%
28/12/2016,0.818,0.38%,0.9604,0.43%,6.9593,0.10%,117.25,-0.14%
29/12/2016,0.8155,-0.31%,0.9532,-0.75%,6.9552,-0.06%,116.55,-0.60%
30/12/2016,0.8105,-0.61%,0.9509,-0.24%,6.945,-0.15%,116.89,0.29%
03/01/2017,0.8171,0.31%,0.961,0.52%,6.961,0.23%,117.75,0.19%
06/01/2017,0.8138,1.07%,0.9494,0.71%,6.9207,0.45%,116.92,1.35%
09/01/2017,0.8222,1.03%,0.9457,-0.39%,6.9375,0.24%,116.03,-0.76%
11/01/2017,0.8188,-0.30%,0.9449,-0.26%,6.9377,0.23%,115.41,-0.31%
12/01/2017,0.8224,0.44%,0.9423,-0.28%,6.8915,-0.67%,114.72,-0.60%
13/01/2017,0.8212,-0.15%,0.9395,-0.30%,6.9005,0.13%,114.53,-0.17%
17/01/2017,0.8055,-2.95%,0.9334,-1.04%,6.8546,-0.67%,112.64,-1.37%
18/01/2017,0.8157,1.27%,0.9406,0.77%,6.839,-0.23%,114.67,1.80%
19/01/2017,0.8103,-0.66%,0.9377,-0.31%,6.8712,0.47%,114.87,0.17%
20/01/2017,0.8081,-0.27%,0.9344,-0.35%,6.8765,0.08%,114.62,-0.22%
23/01/2017,0.7977,-1.29%,0.929,-0.58%,6.8539,-0.33%,112.7,-1.68%
24/01/2017,0.7987,0.13%,0.9319,0.31%,6.859,0.07%,113.8,0.98%
25/01/2017,0.7915,-0.90%,0.9304,-0.16%,6.8836,0.36%,113.28,-0.46%
26/01/2017,0.7941,0.33%,0.9361,0.61%,6.8817,-0.03%,114.53,1.10%
27/01/2017,0.7965,0.30%,0.9346,-0.16%,6.8817,0.00%,115.08,0.48%
30/01/2017,0.8009,0.55%,0.9351,0.05%,6.8817,0.00%,113.78,-1.13%
31/01/2017,0.795,-0.74%,0.9261,-0.96%,6.8817,0.00%,112.8,-0.86%
02/02/2017,0.7982,1.03%,0.9295,0.10%,6.8817,0.00%,112.81,-0.39%
03/02/2017,0.8008,0.33%,0.9273,-0.24%,6.8697,-0.17%,112.7,-0.10%
06/02/2017,0.802,0.15%,0.9302,0.31%,6.863,-0.10%,111.75,-0.84%
08/02/2017,0.7974,-0.25%,0.9346,-0.16%,6.8723,-0.17%,111.94,-0.40%
10/02/2017,0.8005,0.02%,0.9397,0.13%,6.8785,0.14%,113.22,-0.03%
13/02/2017,0.7984,-0.26%,0.9435,0.40%,6.8815,0.04%,113.75,0.47%
14/02/2017,0.802,0.45%,0.9454,0.20%,6.8674,-0.20%,114.26,0.45%
15/02/2017,0.8026,0.07%,0.9433,-0.22%,6.8711,0.05%,114.17,-0.08%
16/02/2017,0.8007,-0.24%,0.9369,-0.68%,6.8537,-0.25%,113.23,-0.82%
17/02/2017,0.8055,0.60%,0.9422,0.57%,6.8665,0.19%,112.88,-0.31%
21/02/2017,0.8018,-0.09%,0.949,0.72%,6.8841,0.08%,113.69,0.52%
22/02/2017,0.8032,0.17%,0.9473,-0.18%,6.8777,-0.09%,113.3,-0.34%
23/02/2017,0.7964,-0.85%,0.945,-0.24%,6.8661,-0.17%,112.59,-0.63%
24/02/2017,0.8021,0.72%,0.9467,0.18%,6.869,0.04%,112.19,-0.36%
27/02/2017,0.8037,0.20%,0.9446,-0.22%,6.8708,0.03%,112.7,0.45%
28/02/2017,0.8077,0.50%,0.9455,0.10%,6.8678,-0.04%,112.78,0.07%
01/03/2017,0.8134,0.71%,0.9481,0.27%,6.8819,0.21%,113.73,0.84%
02/03/2017,0.8153,0.23%,0.9517,0.38%,6.8899,0.12%,114.41,0.60%
03/03/2017,0.8134,-0.23%,0.9414,-1.08%,6.8972,0.11%,114.02,-0.34%
07/03/2017,0.8196,0.29%,0.9464,0.15%,6.9025,0.07%,113.98,0.08%
08/03/2017,0.8217,0.26%,0.9487,0.24%,6.9131,0.15%,114.35,0.32%
10/03/2017,0.8216,-0.04%,0.9371,-0.89%,6.9095,-0.03%,114.75,-0.17%
13/03/2017,0.8184,-0.39%,0.9386,0.16%,6.9145,0.07%,114.88,0.11%
14/03/2017,0.8227,0.53%,0.9431,0.48%,6.915,0.01%,114.75,-0.11%
15/03/2017,0.8135,-1.12%,0.9316,-1.22%,6.9147,0.00%,113.38,-1.19%
16/03/2017,0.8091,-0.54%,0.9288,-0.30%,6.898,-0.24%,113.31,-0.06%
17/03/2017,0.8068,-0.28%,0.9313,0.27%,6.9034,0.08%,112.72,-0.52%
20/03/2017,0.8092,0.30%,0.9312,-0.01%,6.9085,0.07%,112.56,-0.14%
21/03/2017,0.8014,-0.96%,0.925,-0.67%,6.887,-0.31%,111.72,-0.75%
22/03/2017,0.8011,-0.04%,0.9262,0.13%,6.8828,-0.06%,111.16,-0.50%
23/03/2017,0.7987,-0.30%,0.9274,0.13%,6.8861,0.05%,110.94,-0.20%
24/03/2017,0.8018,0.39%,0.9261,-0.14%,6.8837,-0.03%,111.34,0.36%
27/03/2017,0.7963,-0.69%,0.9204,-0.62%,6.8728,-0.16%,110.66,-0.61%
28/03/2017,0.8032,0.87%,0.9248,0.48%,6.8802,0.11%,111.16,0.45%
29/03/2017,0.8043,0.14%,0.9288,0.43%,6.89,0.14%,111.05,-0.10%
30/03/2017,0.802,-0.29%,0.9367,0.85%,6.8894,-0.01%,111.92,0.78%
31/03/2017,0.7965,-0.69%,0.9387,0.21%,6.8871,-0.03%,111.39,-0.47%
04/04/2017,0.8038,0.37%,0.9369,-0.05%,6.8871,0.00%,110.75,-0.13%
05/04/2017,0.8011,-0.34%,0.9377,0.09%,6.8948,0.11%,110.7,-0.05%
07/04/2017,0.8082,0.77%,0.9443,0.51%,6.9004,0.04%,111.07,0.23%
10/04/2017,0.8054,-0.35%,0.9437,-0.06%,6.9031,0.04%,110.94,-0.12%
12/04/2017,0.7974,-0.40%,0.9375,-0.60%,6.8915,-0.01%,109.03,-0.54%
13/04/2017,0.7998,0.30%,0.9422,0.50%,6.89,-0.02%,109.09,0.06%
18/04/2017,0.779,-2.12%,0.9319,-0.81%,6.8819,-0.01%,108.42,-0.45%
19/04/2017,0.7825,0.45%,0.9336,0.18%,6.888,0.09%,108.86,0.41%
20/04/2017,0.7804,-0.27%,0.9331,-0.05%,6.8822,-0.08%,109.32,0.42%
21/04/2017,0.7804,0.00%,0.9322,-0.10%,6.8859,0.05%,109.08,-0.22%
24/04/2017,0.7816,0.15%,0.9202,-1.29%,6.8848,-0.02%,109.77,0.63%
25/04/2017,0.7788,-0.36%,0.9153,-0.53%,6.8847,0.00%,111.09,1.20%
26/04/2017,0.7785,-0.04%,0.9172,0.21%,6.8926,0.11%,111.06,-0.03%
27/04/2017,0.775,-0.45%,0.9197,0.27%,6.8979,0.08%,111.27,0.19%
28/04/2017,0.7722,-0.36%,0.9177,-0.22%,6.8935,-0.06%,111.55,0.25%
01/05/2017,0.7761,0.51%,0.9175,-0.02%,6.8935,0.00%,111.84,0.26%
04/05/2017,0.7738,-0.44%,0.9103,-0.90%,6.8962,-0.04%,112.46,-0.26%
05/05/2017,0.7703,-0.45%,0.9093,-0.11%,6.9031,0.10%,112.72,0.23%
