,Date,xrp_p
146,26/05/2016 23:59,0.00566894
147,27/05/2016 23:59,0.00567922
148,28/05/2016 23:59,0.00568167
149,29/05/2016 23:59,0.0056625
150,30/05/2016 23:59,0.00574818
151,31/05/2016 23:59,0.00570616
152,01/06/2016 23:59,0.00580939
153,02/06/2016 23:59,0.00576561
154,03/06/2016 23:59,0.00582659
155,04/06/2016 23:59,0.00578018
156,05/06/2016 23:59,0.00579584
157,06/06/2016 23:59,0.00576923
158,07/06/2016 23:59,0.00577962
159,08/06/2016 23:59,0.00577044
160,09/06/2016 23:59,0.00578756
161,10/06/2016 23:59,0.00573611
162,11/06/2016 23:59,0.00576593
163,12/06/2016 23:59,0.00585202
164,13/06/2016 23:59,0.00582391
165,14/06/2016 23:59,0.00710519
166,15/06/2016 23:59,0.0068867
167,16/06/2016 23:59,0.00667619
168,17/06/2016 23:59,0.00669322
169,18/06/2016 23:59,0.00660402
170,19/06/2016 23:59,0.00681252
171,20/06/2016 23:59,0.00662603
172,21/06/2016 23:59,0.00617174
173,22/06/2016 23:59,0.00649479
174,23/06/2016 23:59,0.00638054
175,24/06/2016 23:59,0.00643372
176,25/06/2016 23:59,0.00641359
177,26/06/2016 23:59,0.00639995
178,27/06/2016 23:59,0.00639849
179,28/06/2016 23:59,0.00677267
180,29/06/2016 23:59,0.00677719
181,30/06/2016 23:59,0.00665713
182,01/07/2016 23:59,0.00678673
183,02/07/2016 23:59,0.00669925
184,03/07/2016 23:59,0.00660746
185,04/07/2016 23:59,0.00702769
186,05/07/2016 23:59,0.00669886
187,06/07/2016 23:59,0.00669065
188,07/07/2016 23:59,0.0065984
189,08/07/2016 23:59,0.00671544
190,09/07/2016 23:59,0.00667908
191,10/07/2016 23:59,0.00667412
192,11/07/2016 23:59,0.0065339
193,12/07/2016 23:59,0.00634967
194,13/07/2016 23:59,0.00641063
195,14/07/2016 23:59,0.00638492
196,15/07/2016 23:59,0.00644201
197,16/07/2016 23:59,0.00657194
198,17/07/2016 23:59,0.00653799
